Date,Open,High,Low,Close,Adj Close,Volume
2011-08-09,19209.699219,20158.550781,18868.109375,19330.699219,19330.699219,4636766000
2011-08-10,19993.779297,20105.869141,19672.660156,19783.669922,19783.669922,2935328800
2011-08-11,19319.429688,19728.880859,19269.410156,19595.140625,19595.140625,2751712000
2011-08-12,19955.820313,19955.820313,19575.000000,19620.009766,19620.009766,2156205600
2011-08-15,20056.779297,20264.330078,19924.560547,20260.099609,20260.099609,1827188800
2011-08-16,20344.750000,20431.859375,20140.310547,20212.080078,20212.080078,1776906800
2011-08-17,20318.369141,20504.380859,20214.720703,20289.029297,20289.029297,1562562300
2011-08-18,20261.210938,20342.240234,19969.210938,20016.269531,20016.269531,1568461000
2011-08-19,19478.820313,19595.919922,19314.419922,19399.919922,19399.919922,2110642000
2011-08-22,19465.300781,19666.839844,19047.640625,19486.869141,19486.869141,2553695400
2011-08-23,19476.470703,19893.369141,19383.380859,19875.529297,19875.529297,1963474800
2011-08-24,19863.109375,19876.669922,19452.650391,19466.789063,19466.789063,1680593600
2011-08-25,19744.519531,19803.279297,19638.869141,19752.480469,19752.480469,1819733600
2011-08-26,19733.710938,19919.919922,19549.529297,19582.880859,19582.880859,2063724400
2011-08-29,19883.060547,19919.339844,19749.400391,19865.109375,19865.109375,1898744000
2011-08-30,20203.550781,20341.119141,20071.519531,20204.169922,20204.169922,6806048000
2011-08-31,20256.339844,20556.929688,20168.929688,20534.849609,20534.849609,3563446800
2011-09-01,20790.220703,20975.300781,20572.970703,20585.330078,20585.330078,2665644400
2011-09-02,20557.919922,20580.810547,20178.669922,20212.910156,20212.910156,1751778400
2011-09-05,19830.500000,19830.500000,19567.769531,19616.400391,19616.400391,1887246000
2011-09-06,19374.919922,19727.890625,19290.400391,19710.500000,19710.500000,1813548800
2011-09-07,19836.250000,20069.750000,19785.289063,20048.000000,20048.000000,1706676000
2011-09-08,20159.289063,20159.289063,19799.490234,19912.820313,19912.820313,1893054800
2011-09-09,19997.890625,20088.800781,19808.949219,19866.630859,19866.630859,1301321900
2011-09-12,19264.679688,19303.740234,18989.439453,19030.539063,19030.539063,1900551400
2011-09-14,19216.289063,19248.640625,18627.650391,19045.439453,19045.439453,2449187200
2011-09-15,19186.759766,19269.410156,18935.080078,19181.500000,19181.500000,1916783000
2011-09-16,19545.500000,19652.529297,19454.740234,19455.310547,19455.310547,2492944200
2011-09-19,19247.589844,19247.589844,18876.060547,18917.949219,18917.949219,1576185200
2011-09-20,19008.609375,19055.160156,18732.750000,19014.800781,19014.800781,1800534000
2011-09-21,18891.500000,19023.570313,18698.900391,18824.169922,18824.169922,1874705200
2011-09-22,18296.800781,18296.800781,17859.310547,17911.949219,17911.949219,2672498800
2011-09-23,17585.789063,17813.570313,17373.410156,17668.830078,17668.830078,3973027600
2011-09-26,17634.419922,17734.839844,16999.539063,17407.800781,17407.800781,3000657200
2011-09-27,17818.970703,18136.019531,17769.060547,18130.550781,18130.550781,2660498600
2011-09-28,17962.490234,18101.269531,17843.949219,18011.060547,18011.060547,2514562600
2011-09-30,17946.240234,17946.240234,17502.080078,17592.410156,17592.410156,3583124800
2011-10-03,17179.199219,17179.199219,16717.140625,16822.150391,16822.150391,3227049200
2011-10-04,16731.580078,16840.910156,16170.349609,16250.269531,16250.269531,2858417000
2011-10-06,16975.000000,17179.929688,16849.449219,17172.279297,17172.279297,3071248600
2011-10-07,17540.720703,17800.720703,17505.380859,17707.009766,17707.009766,2463267200
2011-10-10,17853.259766,17859.349609,17437.839844,17711.060547,17711.060547,1782360800
2011-10-11,18441.869141,18456.160156,18041.699219,18141.589844,18141.589844,3122935200
2011-10-12,17990.560547,18411.769531,17804.560547,18329.460938,18329.460938,2169091800
2011-10-13,18601.650391,18758.740234,18453.050781,18757.810547,18757.810547,2336936000
2011-10-14,18639.429688,18665.949219,18367.849609,18501.789063,18501.789063,1491146200
2011-10-17,18808.660156,18908.169922,18675.810547,18873.990234,18873.990234,1626920400
2011-10-18,18411.400391,18411.400391,17963.259766,18076.460938,18076.460938,2198094000
2011-10-19,18400.330078,18426.289063,18203.990234,18309.220703,18309.220703,1373247600
2011-10-20,18198.119141,18198.119141,17782.000000,17983.099609,17983.099609,1265983300
2011-10-21,18034.199219,18082.429688,17926.289063,18025.720703,18025.720703,1068828900
2011-10-24,18444.160156,18826.849609,18435.410156,18771.820313,18771.820313,1951463600
2011-10-25,18867.509766,18981.570313,18801.419922,18968.199219,18968.199219,1900999600
2011-10-26,18727.960938,19106.740234,18705.080078,19066.539063,19066.539063,1680825800
2011-10-27,19067.589844,19693.189453,19046.470703,19688.699219,19688.699219,3148372200
2011-10-28,20152.220703,20272.380859,19972.240234,20019.240234,20019.240234,3745456800
2011-10-31,20027.720703,20155.619141,19699.330078,19864.869141,19864.869141,1747618800
2011-11-01,19461.080078,19698.990234,19322.599609,19369.960938,19369.960938,1764802800
2011-11-02,19091.849609,19745.480469,19024.070313,19733.710938,19733.710938,1962952400
2011-11-03,19418.820313,19541.119141,19142.339844,19242.500000,19242.500000,2140898800
2011-11-04,19922.769531,19981.519531,19773.310547,19842.789063,19842.789063,2257596200
2011-11-07,19894.220703,19977.089844,19649.570313,19677.890625,19677.890625,1619993100
2011-11-08,19848.500000,19914.919922,19659.939453,19678.470703,19678.470703,1464882800
2011-11-09,20067.380859,20173.140625,19967.169922,20014.429688,20014.429688,1943931200
2011-11-10,19091.400391,19199.080078,18945.580078,18963.890625,18963.890625,2485571200
2011-11-11,19143.580078,19206.339844,19028.310547,19137.169922,19137.169922,1279485000
2011-11-14,19600.369141,19640.679688,19496.160156,19508.179688,19508.179688,1683768000
2011-11-15,19305.279297,19420.060547,19240.349609,19348.439453,19348.439453,5166622000
2011-11-16,19483.099609,19483.099609,18768.669922,18960.900391,18960.900391,1615190400
2011-11-17,18686.169922,18958.970703,18657.740234,18817.470703,18817.470703,2567727600
2011-11-18,18561.039063,18561.039063,18398.960938,18491.230469,18491.230469,1662337300
2011-11-21,18213.720703,18293.939453,18054.230469,18225.849609,18225.849609,1367022700
2011-11-22,18225.480469,18355.119141,18017.500000,18251.589844,18251.589844,1961345200
2011-11-23,17954.580078,17964.400391,17838.740234,17864.429688,17864.429688,1582422900
2011-11-24,17657.689453,17997.070313,17657.689453,17935.099609,17935.099609,1402041200
2011-11-25,17658.779297,17827.810547,17613.199219,17689.480469,17689.480469,944755200
2011-11-28,18019.210938,18095.199219,17954.189453,18037.810547,18037.810547,1142332600
2011-11-29,18225.099609,18372.449219,18053.919922,18256.199219,18256.199219,1726122400
2011-11-30,18192.289063,18192.289063,17860.800781,17989.349609,17989.349609,3420057200
2011-12-01,19033.960938,19050.560547,18868.320313,19002.259766,19002.259766,3561534800
2011-12-02,18977.199219,19151.650391,18878.310547,19040.390625,19040.390625,2307844400
2011-12-05,19117.890625,19188.859375,18972.900391,19179.689453,19179.689453,1604780700
2011-12-06,19011.810547,19038.480469,18818.679688,18942.230469,18942.230469,1252330600
2011-12-07,19114.019531,19242.800781,19009.429688,19240.580078,19240.580078,1846600800
2011-12-08,19112.330078,19137.560547,18956.410156,19107.810547,19107.810547,1297769200
2011-12-09,18721.160156,18840.929688,18511.419922,18586.230469,18586.230469,1661916300
2011-12-12,18853.320313,18919.419922,18508.119141,18575.660156,18575.660156,1167983200
2011-12-13,18327.449219,18465.390625,18297.660156,18447.169922,18447.169922,1049706200
2011-12-14,18301.050781,18476.150391,18280.669922,18354.429688,18354.429688,1203253600
2011-12-15,18122.730469,18133.939453,17895.150391,18026.839844,18026.839844,1711814800
2011-12-16,18025.599609,18390.410156,18025.599609,18285.390625,18285.390625,2209494000
2011-12-19,18053.640625,18092.349609,17821.519531,18070.210938,18070.210938,1392940100
2011-12-20,18044.750000,18270.699219,18010.259766,18080.199219,18080.199219,1196532600
2011-12-21,18462.640625,18473.189453,18288.650391,18416.449219,18416.449219,1424472900
2011-12-22,18356.869141,18388.009766,18238.380859,18378.230469,18378.230469,903858400
2011-12-23,18589.679688,18636.750000,18539.589844,18629.169922,18629.169922,965404400
2011-12-24,null,null,null,null,null,null
2011-12-28,18621.500000,18621.500000,18461.970703,18518.669922,18518.669922,862673200
2011-12-29,18329.609375,18409.119141,18293.810547,18397.919922,18397.919922,1205224300
2011-12-30,18489.039063,18506.269531,18415.849609,18434.390625,18434.390625,837154800
2011-12-31,null,null,null,null,null,null
2012-01-03,18770.640625,18886.119141,18724.169922,18877.410156,18877.410156,1247580300
2012-01-04,18970.599609,18970.599609,18687.939453,18727.310547,18727.310547,1169241200
2012-01-05,18753.380859,18821.089844,18723.279297,18813.410156,18813.410156,1035426900
2012-01-06,18784.859375,18784.859375,18506.580078,18593.060547,18593.060547,1434068900
2012-01-09,18588.359375,18884.259766,18302.839844,18865.720703,18865.720703,1380951700
2012-01-10,18948.119141,19086.529297,18858.570313,19004.279297,19004.279297,1994815200
2012-01-11,19071.900391,19175.849609,18983.140625,19151.939453,19151.939453,2037326200
2012-01-12,19112.759766,19261.289063,19050.949219,19095.380859,19095.380859,1791582400
2012-01-13,19232.210938,19232.210938,19073.179688,19204.419922,19204.419922,2018465200
2012-01-16,19070.740234,19070.740234,18985.750000,19012.199219,19012.199219,1354845900
2012-01-17,19185.849609,19640.279297,19173.289063,19627.750000,19627.750000,2590203600
2012-01-18,19651.589844,19726.839844,19577.070313,19686.919922,19686.919922,1947200800
2012-01-19,19842.460938,19956.539063,19776.320313,19942.949219,19942.949219,2497477200
2012-01-20,20161.720703,20161.720703,19927.880859,20110.369141,20110.369141,1966388400
2012-01-26,20453.470703,20453.470703,20301.589844,20439.140625,20439.140625,2041611000
2012-01-27,20443.460938,20590.800781,20384.050781,20501.669922,20501.669922,1809725000
2012-01-30,20518.000000,20518.000000,20144.949219,20160.410156,20160.410156,2136671200
2012-01-31,20326.490234,20465.890625,20219.269531,20390.490234,20390.490234,2386779600
2012-02-01,20394.669922,20534.220703,20269.509766,20333.369141,20333.369141,1499488400
2012-02-02,20638.960938,20761.699219,20564.970703,20739.449219,20739.449219,2100068000
2012-02-03,20680.710938,20796.740234,20639.490234,20756.980469,20756.980469,1663273500
2012-02-06,21015.550781,21015.550781,20633.130859,20709.939453,20709.939453,1900864400
2012-02-07,20808.050781,20881.849609,20649.269531,20699.189453,20699.189453,1519257700
2012-02-08,20827.890625,21023.330078,20755.730469,21018.460938,21018.460938,1739168600
2012-02-09,20922.289063,21053.060547,20787.839844,21010.009766,21010.009766,2208070800
2012-02-10,20986.250000,21002.330078,20703.789063,20783.859375,20783.859375,1997876600
2012-02-13,20718.800781,20969.800781,20673.960938,20887.400391,20887.400391,1515547500
2012-02-14,20845.240234,20947.949219,20813.529297,20917.830078,20917.830078,1174512100
2012-02-15,20993.580078,21403.279297,20933.390625,21365.230469,21365.230469,2038762000
2012-02-16,21266.509766,21317.720703,21157.550781,21277.279297,21277.279297,1548013700
2012-02-17,21503.589844,21546.730469,21381.689453,21491.619141,21491.619141,1590262700
2012-02-20,21760.339844,21760.339844,21393.480469,21424.789063,21424.789063,1855260400
2012-02-21,21434.310547,21480.339844,21221.390625,21478.720703,21478.720703,1547155900
2012-02-22,21339.019531,21569.740234,21302.189453,21549.279297,21549.279297,1377263800
2012-02-23,21356.529297,21428.500000,21325.560547,21380.990234,21380.990234,1125571200
2012-02-24,21438.970703,21468.929688,21292.400391,21406.859375,21406.859375,1386342400
2012-02-27,21381.660156,21589.019531,21076.519531,21217.859375,21217.859375,1610982000
2012-02-28,21303.390625,21583.070313,21273.990234,21568.730469,21568.730469,1614442400
2012-02-29,21643.849609,21716.759766,21525.910156,21680.080078,21680.080078,1557394100
2012-03-01,21578.189453,21641.140625,21338.289063,21387.960938,21387.960938,1377724000
2012-03-02,21618.150391,21623.240234,21531.929688,21562.259766,21562.259766,1592404700
2012-03-05,21518.029297,21578.759766,21230.609375,21265.310547,21265.310547,1255361600
2012-03-06,21173.740234,21173.740234,20789.359375,20806.250000,20806.250000,3940575200
2012-03-07,20521.960938,20732.869141,20521.960938,20627.779297,20627.779297,2211849600
2012-03-08,20722.949219,20909.710938,20681.089844,20900.730469,20900.730469,1592319800
2012-03-09,20930.929688,21209.789063,20917.679688,21086.000000,21086.000000,1399879900
2012-03-12,21073.589844,21170.550781,20924.359375,21134.179688,21134.179688,1130190800
2012-03-13,21279.410156,21427.119141,21261.320313,21339.699219,21339.699219,1360783500
2012-03-14,21564.210938,21638.320313,21263.019531,21307.890625,21307.890625,1924523200
2012-03-15,21323.060547,21368.480469,21162.169922,21353.529297,21353.529297,1320818700
2012-03-16,21350.250000,21438.619141,21253.390625,21317.849609,21317.849609,1537009700
2012-03-20,21183.039063,21183.039063,20786.689453,20888.240234,20888.240234,1707925200
2012-03-21,20948.130859,20993.480469,20756.029297,20856.630859,20856.630859,1512320300
2012-03-22,20886.119141,20978.490234,20801.789063,20901.560547,20901.560547,1173606200
2012-03-23,20740.560547,20742.699219,20596.890625,20668.800781,20668.800781,1571090500
2012-03-26,20672.369141,20776.359375,20580.720703,20668.859375,20668.859375,1433061700
2012-03-27,20921.800781,21063.380859,20896.189453,21046.910156,21046.910156,1531093100
2012-03-28,20959.980469,20989.580078,20798.089844,20885.419922,20885.419922,1502762300
2012-03-29,20720.339844,20720.339844,20527.259766,20609.390625,20609.390625,1671524900
2012-03-30,20380.060547,20566.089844,20374.029297,20555.580078,20555.580078,1905267600
2012-04-02,20662.970703,20662.970703,20417.689453,20522.259766,20522.259766,1073392500
2012-04-03,20704.150391,20816.089844,20588.199219,20790.980469,20790.980469,1371781700
2012-04-05,20479.269531,20670.199219,20404.150391,20593.000000,20593.000000,1406878200
2012-04-10,20387.429688,20472.960938,20297.390625,20356.240234,20356.240234,1243823600
2012-04-11,20092.960938,20188.560547,20035.679688,20140.669922,20140.669922,1291420000
2012-04-12,20179.720703,20360.480469,20138.019531,20327.320313,20327.320313,1535836200
2012-04-13,20640.500000,20719.039063,20574.349609,20701.039063,20701.039063,2071051600
2012-04-16,20516.089844,20625.449219,20514.089844,20610.640625,20610.640625,5036283200
2012-04-17,20678.039063,20678.039063,20392.570313,20562.310547,20562.310547,1489108300
2012-04-18,20800.210938,20862.320313,20715.939453,20780.730469,20780.730469,1484985400
2012-04-19,20767.460938,20995.009766,20767.460938,20995.009766,20995.009766,1119693300
2012-04-20,20933.269531,21076.429688,20881.619141,21010.640625,21010.640625,1079271500
2012-04-23,20970.960938,20970.960938,20624.390625,20624.390625,20624.390625,1192054100
2012-04-24,20606.169922,20771.789063,20534.130859,20677.160156,20677.160156,1280554500
2012-04-25,20751.539063,20751.820313,20584.980469,20646.289063,20646.289063,1060608800
2012-04-26,20753.179688,20826.910156,20674.939453,20809.710938,20809.710938,1113077800
2012-04-27,20916.080078,20929.960938,20648.769531,20741.449219,20741.449219,1549824700
2012-04-30,20889.769531,21105.570313,20889.769531,21094.210938,21094.210938,1353087200
2012-05-02,21245.480469,21385.300781,21237.169922,21309.080078,21309.080078,1550182600
2012-05-03,21209.439453,21256.810547,21153.630859,21249.529297,21249.529297,7112369600
2012-05-04,21107.189453,21170.640625,21061.140625,21086.000000,21086.000000,1367404200
2012-05-07,20658.410156,20674.449219,20477.859375,20536.650391,20536.650391,2201041600
2012-05-08,20647.380859,20647.380859,20399.380859,20484.750000,20484.750000,1480445300
2012-05-09,20361.550781,20371.660156,20257.609375,20330.640625,20330.640625,1797879400
2012-05-10,20313.970703,20375.039063,20091.679688,20227.279297,20227.279297,1720960400
2012-05-11,20083.269531,20083.269531,19901.410156,19964.630859,19964.630859,1624694700
